,date,day,filename,flag,id,keywords,link,month,place,publisher,year
524,2017/04/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-04-30T03:25:00+05:30->200373.txt,0,200373,[],http://timesofindia.indiatimes.com//city/goa/delay-in-108-services-claims-55-yr-olds-life/articleshow/58438723.cms,04,vasco,TOI,2017
525,2017/01/18,18,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-18T09:42:47+05:30->126124.txt,0,126124,[],http://timesofindia.indiatimes.com//city/lucknow/lucknow-joins-chorus-against-girls-harassment/articleshow/56638476.cms,01,lucknow,TOI,2017
526,2018/02/15,15,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-15T11:13:01+05:30->33647.txt,0,33647,[],http://timesofindia.indiatimes.com//city/bengaluru/boy-excels-after-cochlear-implant-and-speech-therapy/articleshow/62926689.cms,02,bengaluru,TOI,2018
527,2018/01/12,12,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-12T06:54:51+05:30->8418.txt,0,8418,[],http://timesofindia.indiatimes.com//city/lucknow/trains-still-run-late-by-up-to-12-hours/articleshow/62467476.cms,01,lucknow,TOI,2018
528,2018/02/23,23,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-23T07:40:00+05:30->39365.txt,0,39365,[],http://timesofindia.indiatimes.com//city/chandigarh/bhindranwale-hailed-as-martyr-at-gurdwara-inauguration/articleshow/63035807.cms,02,NA,TOI,2018
529,2017/01/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-21T00:20:12+05:30->127897.txt,0,127897,[],http://timesofindia.indiatimes.com//world/us/full-text-president-donald-j-trumps-inaugural-speech/articleshow/56694624.cms,01,NA,TOI,2017
530,2017/05/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-03T10:26:57+05:30->202810.txt,0,202810,[],http://timesofindia.indiatimes.com//city/jamshedpur/royal-bengal-tigress-dies-in-tata-zoo/articleshow/58484260.cms,05,jamshedpur,TOI,2017
531,2018/05/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-05-21T07:17:51+05:30->102949.txt,0,102949,[],http://timesofindia.indiatimes.com//city/chennai/cauvery-issue-may-continue-to-churn-tamil-nadu-politics/articleshow/64250808.cms,05,NA,TOI,2018
532,2018/02/08,08,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-08T10:24:27+05:30->28562.txt,0,28562,[],http://timesofindia.indiatimes.com//business/india-business/nano-cant-stay-in-present-form-beyond-2019-tata-motors-md/articleshow/62830769.cms,02,NA,TOI,2018
533,2018/05/17,17,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-05-17T08:26:02+05:30->99197.txt,0,99197,[],http://timesofindia.indiatimes.com//city/rajkot/this-tree-could-bring-down-furniture-cost-by-30/articleshow/64181741.cms,05,rajkot,TOI,2018
